SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MAHARASHTRA,2142,250,12328,11559,2470,9089,1,8,2,758,196,1308,3003,28,250,295,41610,34272,1044,29240,2877,543,568,7338,3328,3683,10,2,100,209,6,1177,10472,4528,3091,73,149,94,2775,493,199,2161,11755,10527,5647,4880,2,13,40,905,30,1,237,226,21,2,0,2299,4,66,87432,2,0,2,2,619,7518,47,8,4,24,71,92,1,416,290,938,423,502,11,59,63,4569,48,46,2,922,9107,96517,23606,72911,14513,2445,12068,831,7763,140,615,604,11,246,1,2218,2,122846,76,0,0,0,76,13392,2363,293,285,385,1400,10236,793,13468,34,4332,2,202,34713,17052,6516,11145,40422,23,3843,269,44,516,1150,2838,8430,35,281,1074,98208,10021
22,MANIPUR,56,10,152,145,86,59,0,0,0,7,0,5,149,0,1,1,193,7,1,2,4,0,0,186,100,85,0,0,0,0,1,0,59,39,10,0,0,3,7,6,1,3,129,11,0,11,0,1,6,43,36,0,32,9,0,0,0,36,1,0,801,8,1,7,8,8,69,0,7,0,6,0,0,11,0,0,0,0,0,0,2,0,43,4,3,1,0,81,877,706,171,37,2,35,69,2,0,7,7,0,12,0,18,1,1023,0,0,0,0,0,129,15,3,0,0,12,101,13,129,0,0,0,0,526,3,180,343,0,0,0,0,0,5,28,8,15,4,8,7,601,187
23,MEGHALAYA,68,4,139,137,48,89,0,0,1,1,3,0,64,0,1,5,179,87,42,25,11,9,0,92,50,37,0,0,5,0,0,20,96,51,38,3,0,0,35,1,0,6,130,56,8,48,0,0,9,9,22,0,34,2,0,0,0,102,16,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,7,752,177,575,272,123,149,50,83,1,40,40,0,0,1,69,0,1268,2,0,0,0,2,254,27,13,4,2,8,192,35,256,1,82,0,0,130,15,67,48,1,0,0,0,5,8,75,35,23,3,169,18,550,215
24,MIZORAM,22,6,50,44,16,28,0,0,0,6,0,0,14,0,0,1,72,28,7,19,2,0,0,44,24,17,0,0,0,3,0,14,35,19,16,2,1,0,13,1,0,2,5,3,0,3,0,1,0,1,0,0,0,7,0,0,0,42,0,2,270,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1057,229,828,646,309,337,7,7,0,0,0,0,0,0,34,0,1751,5,0,0,0,5,92,1,0,0,0,1,65,26,97,1,42,0,0,18,6,9,3,0,0,0,0,25,21,20,44,5,0,42,0,218,39
25,NAGALAND,25,2,23,10,7,3,0,0,0,13,0,0,26,0,0,1,32,9,7,1,0,0,1,23,10,6,0,0,2,0,5,0,8,8,0,0,0,0,0,0,0,0,64,44,25,19,0,0,8,0,1,0,11,1,0,0,0,8,0,0,190,10,8,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,378,210,168,100,11,89,201,28,0,1,1,0,0,0,27,3,738,0,0,0,0,0,95,35,26,6,1,2,39,21,95,0,2,0,0,19,10,6,3,0,0,0,0,5,5,2,4,0,1,5,1,44,39
26,ODISHA,1356,5,5208,5192,4374,818,0,0,0,16,342,12,3569,0,22,2,9511,5315,5256,42,5,1,11,4196,4175,6,10,0,1,4,0,32,11308,6774,1298,0,1,0,1297,2816,70,350,4748,4597,4315,282,0,0,6,85,54,0,6,124,0,0,0,1382,151,31,37803,13,2,11,13,27,1993,0,0,76,42,6,16,0,0,0,83,0,0,0,0,0,1770,0,0,0,61,2081,10766,3541,7225,4149,58,4091,623,2492,2,401,401,0,186,0,508,1,19128,14,0,0,0,14,3807,49,2,12,1,34,3756,2,3821,1,0,0,0,5877,2984,1317,1576,15,0,131,0,1,1,552,22,2739,0,16361,536,26236,6951
27,PUDUCHERRY,29,1,134,0,0,0,0,0,0,134,0,1,21,1,13,0,747,716,589,59,18,50,0,31,31,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,0,989,0,0,0,0,23,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,1,1,0,0,39,484,234,250,43,3,40,14,20,0,3,3,0,5,0,4,0,573,1,0,0,0,1,61,10,0,0,0,10,51,0,62,0,0,0,0,1269,10,965,294,0,0,0,0,0,0,6,0,8,0,0,0,1283,221
28,PUNJAB,679,166,3213,3173,1492,1681,0,6,3,31,69,542,840,95,25,71,6279,4483,1844,2045,421,163,10,1796,1249,417,11,5,60,54,0,92,944,510,222,3,3,8,208,89,15,108,1798,130,37,93,1,13,2,1431,1,0,220,8,1,0,0,1002,109,68,16001,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,15,18,7562,3282,4280,3324,655,2669,103,91,1,25,25,0,104,0,289,1164,12663,25,0,0,0,25,4096,779,57,24,20,678,3273,44,4121,5,2301,15,1,1978,137,473,1368,260,0,26,180,3,11,80,1243,1595,0,27,35,7760,4133
29,RAJASTHAN,1659,114,9682,9047,2318,6729,0,17,0,618,452,289,1905,475,20,145,33971,33075,30371,1070,1546,65,23,896,787,44,9,2,51,1,2,1734,8802,6977,915,0,7,0,908,484,48,378,8058,3242,984,2258,0,6,20,1601,13,0,3176,23,3,1,0,5997,1019,118,74467,4,4,0,4,3102,392,18,0,0,1,4,9,3,0,0,33,3,3,0,0,0,318,72,63,9,0,3566,40815,25780,15035,7182,1356,5826,779,1421,5,107,103,4,61,0,487,9,50866,93,1,0,0,92,26340,5149,113,709,226,4101,17160,4031,26433,0,69,0,2,13982,582,10225,3175,51,0,0,40,2,45,439,4323,18432,8,54,69,37516,32454
30,SIKKIM,17,2,65,52,2,50,0,0,1,12,0,3,14,0,1,4,103,66,29,24,6,7,0,37,14,22,0,0,0,1,0,4,21,15,1,0,0,0,1,0,2,3,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,299,1,0,1,1,0,34,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,35,32,8,24,57,20,37,3,3,1,2,2,0,0,0,4,0,102,1,1,0,0,0,34,6,1,0,1,4,25,3,35,0,4,0,0,113,13,41,59,0,0,0,0,1,0,14,8,1,0,9,2,152,8
31,TAMIL NADU,1745,68,10637,10259,1013,9246,0,1,0,377,28,336,2478,4,138,12,39050,38371,19890,16996,1207,143,135,679,287,258,9,0,68,57,0,751,803,656,87,13,4,7,63,20,16,24,898,176,4,172,2,1,27,494,99,0,99,14,0,0,0,362,8,1,57333,4,4,0,4,1711,1722,11,15,5,49,80,35,14,81,16,436,233,444,0,0,3,300,129,125,4,2043,5605,15684,5127,10557,4392,1033,3359,1352,2444,67,113,113,0,62,5,154,2,24275,69,1,0,0,68,3294,375,33,9,2,331,2789,130,3363,534,1256,0,0,47524,1713,39354,6457,1274,36,7782,13,7,253,395,608,781,91,4056,7,64617,12919
32,TRIPURA,144,7,231,224,97,127,0,2,0,5,38,12,144,0,1,1,1531,258,185,57,16,0,0,1273,1060,204,4,0,5,0,0,12,153,79,25,2,0,5,18,38,5,6,166,58,21,37,0,2,6,72,10,0,18,2,0,0,0,88,9,2,2541,1,0,1,1,2,171,2,0,0,78,0,0,1,0,0,9,8,24,1,10,7,31,8,8,0,1,182,502,231,271,195,15,180,44,21,0,8,8,0,1,0,42,0,813,3,0,0,0,3,305,101,31,39,15,16,168,36,308,31,1,0,0,431,3,8,420,0,1,1,0,2,68,77,81,451,0,111,5,1260,231
33,UTTAR PRADESH,3806,1271,21987,19809,15006,4803,0,26,1,2151,2410,671,4596,1473,29,208,64707,51460,35515,10972,2340,1940,693,13247,10877,847,45,4,438,1031,5,307,11988,4625,4651,55,183,150,4263,2127,89,496,16590,5831,1343,4488,1,324,37,10256,0,0,141,16,1,0,0,3065,358,248,133731,15,10,5,15,140,5714,0,0,0,1,37,156,20,35,14,540,636,523,3,59,28,3662,151,129,22,3,6008,50197,28417,21780,8309,272,8037,810,2241,89,124,118,6,211,360,5590,3847,71778,82,0,5,0,77,14296,2661,162,363,133,2003,8299,3336,14378,139,885,44,30,23635,5525,7939,10171,5,6,1556,175,172,149,617,6604,18304,61,34122,42,86546,40675
34,UTTARAKHAND,199,49,647,638,331,307,0,0,0,9,57,35,161,7,4,6,765,627,423,107,89,7,1,138,122,9,3,0,0,4,0,0,475,358,39,20,0,0,19,25,1,52,967,376,305,71,0,0,2,124,0,0,465,19,0,0,1,526,21,17,3956,0,0,0,0,0,521,0,1,0,0,0,0,10,0,0,5,0,2,0,0,3,500,25,23,2,0,546,1830,925,905,307,47,260,18,175,7,18,18,0,4,3,158,0,2520,10,0,0,0,10,1173,855,30,55,23,747,216,102,1183,4,9,0,2,392,227,25,140,0,0,13,8,1,3,6,52,644,3,299,10,1446,2430
35,WEST BENGAL,1933,367,5218,5075,192,4883,0,17,0,126,444,642,12062,1880,1,29,29510,11541,8269,2976,250,24,22,17969,12852,5030,50,12,4,19,2,933,3399,1837,419,1,0,0,418,746,86,311,5191,3365,588,2777,2,27,46,617,92,1,1041,49,7,10,0,1069,944,11,63699,4,0,4,4,705,1728,6,0,0,40,0,0,0,17,2,14,7,8,8,0,39,1587,26,26,0,1,2460,13665,3002,10663,217,22,195,645,291,7,56,56,0,1614,16,1539,394,18444,208,0,0,0,208,7935,193,15,68,28,82,6808,934,8143,18,467,0,8,7172,138,2138,4896,797,0,1,19,30,137,511,1119,16951,11,1113,391,28745,36115
