,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,GraveCrimes,PettyCrimes,CrimeRatio
14,15,JAMMU & KASHMIR_2011,328.0,1623.0,58.0,349.0,0.0,349.0,978.0,894.0,84.0,29.0,0.0,131.0,820.0,3765.0,349.0,3416.0,9765.0,274.0,681.0,69.0,361.0,548.0,12.0,2759.0,458.0,617.0,2707.0,28717.0,0.09426472124525542
15,16,JHARKHAND_2009,1975.0,1816.0,110.0,0.0,836.0,397.0,439.0,788.0,160.0,779.0,3862.0,1437.0,2425.0,7499.0,519.0,826.0,35.0,240.0,6023.0,562.0,327.0,38.0,1560.0,20.0,956.0,21228.0,5134.0,54857.0,0.09358878538746195
15,16,JHARKHAND_2010,2095.0,1692.0,103.0,836.0,0.0,836.0,1040.0,710.0,330.0,604.0,98.0,707.0,741.0,3056.0,1013.0,2043.0,9103.0,441.0,896.0,31.0,241.0,7272.0,567.0,273.0,20.0,1600.0,5562.0,36348.0,0.15302079894354573
15,16,JHARKHAND_2011,2038.0,1804.0,95.0,758.0,0.0,758.0,1361.0,901.0,460.0,703.0,139.0,806.0,831.0,3666.0,1029.0,2637.0,7546.0,419.0,991.0,20.0,168.0,7060.0,536.0,340.0,16.0,1346.0,5453.0,36428.0,0.14969254419677172
16,17,KARNATAKA_2009,3287.0,3978.0,112.0,0.0,1094.0,506.0,588.0,868.0,1570.0,1812.0,7010.0,2283.0,4727.0,25783.0,358.0,2771.0,118.0,375.0,30678.0,666.0,3159.0,40.0,5784.0,0.0,452.0,56125.0,8977.0,154144.0,0.05823775171268424
16,17,KARNATAKA_2010,3631.0,4660.0,90.0,771.0,0.0,771.0,1389.0,751.0,638.0,1089.0,1323.0,1851.0,3159.0,7456.0,2720.0,4736.0,28105.0,514.0,3846.0,121.0,228.0,32213.0,621.0,3411.0,22.0,6515.0,9923.0,110631.0,0.08969457023799839
16,17,KARNATAKA_2011,3404.0,5156.0,102.0,837.0,0.0,837.0,1332.0,703.0,629.0,775.0,1770.0,2007.0,3599.0,7556.0,2882.0,4674.0,29898.0,518.0,4571.0,79.0,174.0,34671.0,642.0,3381.0,44.0,6801.0,10336.0,117042.0,0.08831017925189248
17,18,KERALA_2009,710.0,1176.0,157.0,0.0,436.0,202.0,234.0,586.0,852.0,1113.0,4439.0,1370.0,3069.0,36777.0,240.0,2801.0,102.0,485.0,27732.0,32.0,3238.0,456.0,5828.0,0.0,51.0,71703.0,2681.0,163789.0,0.01636862060333722
17,18,KERALA_2010,680.0,941.0,123.0,659.0,0.0,659.0,340.0,221.0,119.0,376.0,658.0,935.0,1986.0,3509.0,941.0,2568.0,39040.0,319.0,2736.0,55.0,301.0,29045.0,34.0,3585.0,604.0,7522.0,3062.0,97956.0,0.03125893258197558
17,18,KERALA_2011,733.0,1337.0,134.0,1226.0,0.0,1226.0,349.0,230.0,119.0,348.0,630.0,873.0,1860.0,3475.0,970.0,2505.0,40519.0,200.0,3860.0,40.0,286.0,30747.0,25.0,4257.0,598.0,7305.0,4656.0,103852.0,0.04483303162192351
18,19,LAKSHADWEEP_2009,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,87.0,0.0,0.0,0.0,35.0,73.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,9.0,232.0,0.03879310344827586
18,19,LAKSHADWEEP_2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
18,19,LAKSHADWEEP_2011,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,47.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,62.0,0.04838709677419355
19,20,MADHYA PRADESH_2009,5265.0,6401.0,218.0,6.0,1630.0,1060.0,570.0,701.0,835.0,3430.0,13216.0,3762.0,9454.0,16364.0,685.0,2347.0,66.0,1233.0,84031.0,2474.0,7567.0,1047.0,11182.0,2.0,5702.0,156657.0,14580.0,335905.0,0.043405129426474745
19,20,MADHYA PRADESH_2010,5521.0,7144.0,239.0,4387.0,0.0,4387.0,1684.0,1303.0,381.0,593.0,559.0,2890.0,6233.0,10946.0,3356.0,7590.0,18028.0,663.0,2412.0,55.0,1223.0,81474.0,2564.0,7863.0,1182.0,10253.0,21678.0,182930.0,0.11850434592467064
19,20,MADHYA PRADESH_2011,5317.0,6483.0,190.0,4593.0,0.0,4593.0,1952.0,1473.0,479.0,497.0,604.0,2876.0,6214.0,11928.0,3693.0,8235.0,14075.0,729.0,2513.0,23.0,1337.0,69731.0,2144.0,7904.0,850.0,10313.0,21176.0,168746.0,0.12549038199423987
20,21,MAHARASHTRA_2009,5904.0,6532.0,163.0,0.0,2043.0,1388.0,655.0,4062.0,1366.0,5023.0,30620.0,7130.0,23490.0,54341.0,2465.0,8731.0,300.0,1637.0,55593.0,1233.0,3938.0,1337.0,29493.0,0.0,9162.0,56238.0,16030.0,312844.0,0.05123959545332498
20,21,MAHARASHTRA_2010,5725.0,6838.0,260.0,2180.0,0.0,2180.0,2325.0,1470.0,855.0,3942.0,1348.0,5696.0,13564.0,31545.0,7492.0,24053.0,53016.0,2505.0,9508.0,203.0,1534.0,59092.0,1438.0,4386.0,1515.0,28261.0,17183.0,270931.0,0.06342205210920862
20,21,MAHARASHTRA_2011,6193.0,8361.0,312.0,2533.0,0.0,2533.0,2764.0,1954.0,810.0,3777.0,1422.0,5889.0,13404.0,33298.0,7796.0,25502.0,54706.0,2820.0,10605.0,247.0,1490.0,58803.0,1261.0,4704.0,1300.0,26325.0,19932.0,278809.0,0.07148980126179572
21,22,MANIPUR_2009,85.0,103.0,0.0,0.0,119.0,95.0,24.0,0.0,173.0,0.0,74.0,24.0,50.0,41.0,8.0,64.0,1.0,14.0,199.0,0.0,40.0,1.0,25.0,0.0,0.0,443.0,402.0,1583.0,0.2539481996209728
21,22,MANIPUR_2010,57.0,95.0,0.0,22.0,0.0,22.0,120.0,83.0,37.0,0.0,223.0,0.0,27.0,105.0,32.0,73.0,52.0,8.0,50.0,8.0,2.0,130.0,0.0,23.0,0.0,13.0,196.0,1182.0,0.1658206429780034
21,22,MANIPUR_2011,94.0,112.0,1.0,24.0,0.0,24.0,120.0,94.0,26.0,0.0,136.0,3.0,22.0,189.0,76.0,113.0,70.0,8.0,47.0,1.0,6.0,119.0,5.0,24.0,1.0,22.0,255.0,1337.0,0.1907255048616305
22,23,MEGHALAYA_2009,130.0,33.0,9.0,0.0,58.0,17.0,41.0,119.0,0.0,65.0,326.0,60.0,266.0,4.0,23.0,34.0,7.0,35.0,118.0,0.0,42.0,1.0,6.0,2.0,59.0,405.0,247.0,1860.0,0.13279569892473117
22,23,MEGHALAYA_2010,133.0,48.0,6.0,135.0,0.0,135.0,104.0,41.0,63.0,72.0,1.0,69.0,105.0,343.0,73.0,270.0,25.0,26.0,68.0,10.0,28.0,84.0,0.0,29.0,0.0,11.0,457.0,1879.0,0.24321447578499203
