,Year,State_Name,Name,Start_Date,End_Date,Party
0,2005,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
1,2006,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
2,2007,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
3,2008,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
4,2009,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
5,2010,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
6,2011,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
7,2012,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
8,2013,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
9,2014,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
10,2009,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
11,2010,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
12,2011,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
13,2012,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
14,2013,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
15,2014,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
16,2004,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
17,2005,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
18,2006,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
19,2007,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
20,2008,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
21,2009,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
22,2010,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
23,2011,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
24,2012,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
25,2013,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
26,2014,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
27,2009,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
28,2010,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
29,2011,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
30,2012,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
31,2013,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
32,2014,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
33,2015,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
34,2009,Lakshadweep,Muhammed Hamdulla Sayeed,2009-05-18,2014-05-18,INC
35,2010,Lakshadweep,Muhammed Hamdulla Sayeed,2009-05-18,2014-05-18,INC
36,2011,Lakshadweep,Muhammed Hamdulla Sayeed,2009-05-18,2014-05-18,INC
37,2012,Lakshadweep,Muhammed Hamdulla Sayeed,2009-05-18,2014-05-18,INC
38,2013,Lakshadweep,Muhammed Hamdulla Sayeed,2009-05-18,2014-05-18,INC
39,2014,Lakshadweep,Muhammed Hamdulla Sayeed,2009-05-18,2014-05-18,INC
40,2008,Puducherry,V. Vaithilingam,2008-04-09,2011-05-16,INC
41,2009,Puducherry,V. Vaithilingam,2008-04-09,2011-05-16,INC
42,2010,Puducherry,V. Vaithilingam,2008-04-09,2011-05-16,INC
43,2011,Puducherry,V. Vaithilingam,2008-04-09,2011-05-16,INC
44,1978,Andhra_Pradesh,Dr Marri Chenna Reddy,1978-06-03,1980-10-10,INC(I)
45,1979,Andhra_Pradesh,Dr Marri Chenna Reddy,1978-06-03,1980-10-10,INC(I)
46,1980,Andhra_Pradesh,Dr Marri Chenna Reddy,1978-06-03,1980-10-10,INC(I)
47,1980,Andhra_Pradesh,Sri Tanguturi Anjaiah,1980-11-10,1982-02-24,
48,1981,Andhra_Pradesh,Sri Tanguturi Anjaiah,1980-11-10,1982-02-24,
49,1982,Andhra_Pradesh,Sri Tanguturi Anjaiah,1980-11-10,1982-02-24,
50,1982,Andhra_Pradesh,Sri Bhavanam Venkataram,1982-02-24,1982-09-20,
51,1982,Andhra_Pradesh,Sri K.Vijaya Bhaskara Reddy,1982-09-20,1983-08-01,
52,1983,Andhra_Pradesh,Sri K.Vijaya Bhaskara Reddy,1982-09-20,1983-08-01,
53,1983,Andhra_Pradesh,Sri N.T.Rama Rao,1983-09-01,1984-08-16,IND
54,1984,Andhra_Pradesh,Sri N.T.Rama Rao,1983-09-01,1984-08-16,IND
55,1984,Andhra_Pradesh,Sri N.Bhaskara rao,1984-08-16,1984-09-16,IND
56,1984,Andhra_Pradesh,Sri N.T.Rama Rao,1984-09-16,1985-07-03,IND
57,1985,Andhra_Pradesh,Sri N.T.Rama Rao,1984-09-16,1985-07-03,IND
58,1985,Andhra_Pradesh,Sri N.T.Rama Rao,1985-08-03,1989-02-12,TDP
59,1986,Andhra_Pradesh,Sri N.T.Rama Rao,1985-08-03,1989-02-12,TDP
60,1987,Andhra_Pradesh,Sri N.T.Rama Rao,1985-08-03,1989-02-12,TDP
61,1988,Andhra_Pradesh,Sri N.T.Rama Rao,1985-08-03,1989-02-12,TDP
62,1989,Andhra_Pradesh,Sri N.T.Rama Rao,1985-08-03,1989-02-12,TDP
63,1989,Andhra_Pradesh,Dr.Marri Chenna Reddy,1989-03-12,1990-07-12,INC
64,1990,Andhra_Pradesh,Dr.Marri Chenna Reddy,1989-03-12,1990-07-12,INC
65,1990,Andhra_Pradesh,Sri N.Janardhana Reddy,1990-12-17,1992-09-10,INC
66,1991,Andhra_Pradesh,Sri N.Janardhana Reddy,1990-12-17,1992-09-10,INC
67,1992,Andhra_Pradesh,Sri N.Janardhana Reddy,1990-12-17,1992-09-10,INC
68,1992,Andhra_Pradesh,Sri K.VijayaBhaskara Reddy,1992-10-10,1994-11-12,INC
69,1993,Andhra_Pradesh,Sri K.VijayaBhaskara Reddy,1992-10-10,1994-11-12,INC
70,1994,Andhra_Pradesh,Sri K.VijayaBhaskara Reddy,1992-10-10,1994-11-12,INC
71,1994,Andhra_Pradesh,Sri N.T.Rama Rao,1994-12-12,1995-08-31,TDP
72,1995,Andhra_Pradesh,Sri N.T.Rama Rao,1994-12-12,1995-08-31,TDP
73,1995,Andhra_Pradesh,Sri N. Chandra Babu Naidu,1995-01-09,1999-09-10,TDP
74,1996,Andhra_Pradesh,Sri N. Chandra Babu Naidu,1995-01-09,1999-09-10,TDP
75,1997,Andhra_Pradesh,Sri N. Chandra Babu Naidu,1995-01-09,1999-09-10,TDP
76,1998,Andhra_Pradesh,Sri N. Chandra Babu Naidu,1995-01-09,1999-09-10,TDP
77,1999,Andhra_Pradesh,Sri N. Chandra Babu Naidu,1995-01-09,1999-09-10,TDP
78,1999,Andhra_Pradesh,Sri N. Chandra Babu Naidu,1999-10-10,2004-05-13,TDP
79,2000,Andhra_Pradesh,Sri N. Chandra Babu Naidu,1999-10-10,2004-05-13,TDP
80,2001,Andhra_Pradesh,Sri N. Chandra Babu Naidu,1999-10-10,2004-05-13,TDP
81,2002,Andhra_Pradesh,Sri N. Chandra Babu Naidu,1999-10-10,2004-05-13,TDP
82,2003,Andhra_Pradesh,Sri N. Chandra Babu Naidu,1999-10-10,2004-05-13,TDP
83,2004,Andhra_Pradesh,Sri N. Chandra Babu Naidu,1999-10-10,2004-05-13,TDP
84,2004,Andhra_Pradesh,Dr.Y.S. Rajasekhara Reddy,2004-05-14,2009-05-19,INC
85,2005,Andhra_Pradesh,Dr.Y.S. Rajasekhara Reddy,2004-05-14,2009-05-19,INC
86,2006,Andhra_Pradesh,Dr.Y.S. Rajasekhara Reddy,2004-05-14,2009-05-19,INC
87,2007,Andhra_Pradesh,Dr.Y.S. Rajasekhara Reddy,2004-05-14,2009-05-19,INC
88,2008,Andhra_Pradesh,Dr.Y.S. Rajasekhara Reddy,2004-05-14,2009-05-19,INC
89,2009,Andhra_Pradesh,Dr.Y.S. Rajasekhara Reddy,2004-05-14,2009-05-19,INC
90,2009,Andhra_Pradesh,Dr.Y.S. Rajasekhara Reddy,2009-05-19,2009-02-09,INC
91,2009,Andhra_Pradesh,Sri. K. Rosaiah,2009-03-09,2010-11-24,
92,2010,Andhra_Pradesh,Sri. K. Rosaiah,2009-03-09,2010-11-24,
93,2010,Andhra_Pradesh,Sri. N.Kiran Kumar Reddy,2010-11-25,2014-02-28,INC
94,2011,Andhra_Pradesh,Sri. N.Kiran Kumar Reddy,2010-11-25,2014-02-28,INC
95,2012,Andhra_Pradesh,Sri. N.Kiran Kumar Reddy,2010-11-25,2014-02-28,INC
96,2013,Andhra_Pradesh,Sri. N.Kiran Kumar Reddy,2010-11-25,2014-02-28,INC
97,2014,Andhra_Pradesh,Sri. N.Kiran Kumar Reddy,2010-11-25,2014-02-28,INC
98,2014,Andhra_Pradesh,President's Rule,2014-01-03,2014-02-06,
99,2014,Andhra_Pradesh,Chandrababu Naidu,2014-02-06,2019-05-29,TDP
100,2015,Andhra_Pradesh,Chandrababu Naidu,2014-02-06,2019-05-29,TDP
101,2016,Andhra_Pradesh,Chandrababu Naidu,2014-02-06,2019-05-29,TDP
102,2017,Andhra_Pradesh,Chandrababu Naidu,2014-02-06,2019-05-29,TDP
103,2018,Andhra_Pradesh,Chandrababu Naidu,2014-02-06,2019-05-29,TDP
104,2019,Andhra_Pradesh,Chandrababu Naidu,2014-02-06,2019-05-29,TDP
105,1975,Arunachal_Pradesh,P.K. Thungon,1975-08-16,1978-03-20,
106,1976,Arunachal_Pradesh,P.K. Thungon,1975-08-16,1978-03-20,
107,1977,Arunachal_Pradesh,P.K. Thungon,1975-08-16,1978-03-20,
108,1978,Arunachal_Pradesh,P.K. Thungon,1975-08-16,1978-03-20,
109,1978,Arunachal_Pradesh,P.K. Thungon,1978-03-21,1979-06-09,JNP
110,1979,Arunachal_Pradesh,P.K. Thungon,1978-03-21,1979-06-09,JNP
111,1979,Arunachal_Pradesh,Late Tomo Riba,1979-09-18,1979-03-11,PPA
112,1979,Arunachal_Pradesh,President's Rule,1979-03-11,1980-01-18,
113,1980,Arunachal_Pradesh,President's Rule,1979-03-11,1980-01-18,
114,1980,Arunachal_Pradesh,Gegong Apang,1980-01-18,1985-02-02,INC(I)
115,1981,Arunachal_Pradesh,Gegong Apang,1980-01-18,1985-02-02,INC(I)
116,1982,Arunachal_Pradesh,Gegong Apang,1980-01-18,1985-02-02,INC(I)
117,1983,Arunachal_Pradesh,Gegong Apang,1980-01-18,1985-02-02,INC(I)
118,1984,Arunachal_Pradesh,Gegong Apang,1980-01-18,1985-02-02,INC(I)
119,1985,Arunachal_Pradesh,Gegong Apang,1980-01-18,1985-02-02,INC(I)
120,1985,Arunachal_Pradesh,Gegong Apang,1985-02-02,1990-05-03,INC
121,1986,Arunachal_Pradesh,Gegong Apang,1985-02-02,1990-05-03,INC
122,1987,Arunachal_Pradesh,Gegong Apang,1985-02-02,1990-05-03,INC
123,1988,Arunachal_Pradesh,Gegong Apang,1985-02-02,1990-05-03,INC
124,1989,Arunachal_Pradesh,Gegong Apang,1985-02-02,1990-05-03,INC
125,1990,Arunachal_Pradesh,Gegong Apang,1985-02-02,1990-05-03,INC
126,1990,Arunachal_Pradesh,Gegong Apang,1990-06-03,1995-03-18,INC
127,1991,Arunachal_Pradesh,Gegong Apang,1990-06-03,1995-03-18,INC
128,1992,Arunachal_Pradesh,Gegong Apang,1990-06-03,1995-03-18,INC
129,1993,Arunachal_Pradesh,Gegong Apang,1990-06-03,1995-03-18,INC
130,1994,Arunachal_Pradesh,Gegong Apang,1990-06-03,1995-03-18,INC
131,1995,Arunachal_Pradesh,Gegong Apang,1990-06-03,1995-03-18,INC
132,1995,Arunachal_Pradesh,Gegong Apang,1995-03-19,1999-01-18,INC
133,1996,Arunachal_Pradesh,Gegong Apang,1995-03-19,1999-01-18,INC
134,1997,Arunachal_Pradesh,Gegong Apang,1995-03-19,1999-01-18,INC
135,1998,Arunachal_Pradesh,Gegong Apang,1995-03-19,1999-01-18,INC
136,1999,Arunachal_Pradesh,Gegong Apang,1995-03-19,1999-01-18,INC
137,1999,Arunachal_Pradesh,Mukut Mithi,1999-01-19,1999-09-10,INC
138,1999,Arunachal_Pradesh,Mukut Mithi,1999-10-10,2003-02-08,INC
139,2000,Arunachal_Pradesh,Mukut Mithi,1999-10-10,2003-02-08,INC
140,2001,Arunachal_Pradesh,Mukut Mithi,1999-10-10,2003-02-08,INC
141,2002,Arunachal_Pradesh,Mukut Mithi,1999-10-10,2003-02-08,INC
142,2003,Arunachal_Pradesh,Mukut Mithi,1999-10-10,2003-02-08,INC
143,2003,Arunachal_Pradesh,Gegong Apang,2003-03-08,2004-10-23,AC
144,2004,Arunachal_Pradesh,Gegong Apang,2003-03-08,2004-10-23,AC
145,2004,Arunachal_Pradesh,Gegong Apang,2004-10-24,2007-09-04,INC
146,2005,Arunachal_Pradesh,Gegong Apang,2004-10-24,2007-09-04,INC
147,2006,Arunachal_Pradesh,Gegong Apang,2004-10-24,2007-09-04,INC
148,2007,Arunachal_Pradesh,Gegong Apang,2004-10-24,2007-09-04,INC
149,2007,Arunachal_Pradesh,Dorjee Khandu,2007-10-04,2009-10-22,
150,2008,Arunachal_Pradesh,Dorjee Khandu,2007-10-04,2009-10-22,
151,2009,Arunachal_Pradesh,Dorjee Khandu,2007-10-04,2009-10-22,
152,2009,Arunachal_Pradesh,Dorjee Khandu,2009-10-23,2011-04-05,INC
153,2010,Arunachal_Pradesh,Dorjee Khandu,2009-10-23,2011-04-05,INC
154,2011,Arunachal_Pradesh,Dorjee Khandu,2009-10-23,2011-04-05,INC
155,2011,Arunachal_Pradesh,Jarbom Gamlin,2011-05-05,2011-10-31,INC
156,2011,Arunachal_Pradesh,Nabam Tuki,2011-01-11,2014-05-17,INC
157,2012,Arunachal_Pradesh,Nabam Tuki,2011-01-11,2014-05-17,INC
158,2013,Arunachal_Pradesh,Nabam Tuki,2011-01-11,2014-05-17,INC
159,2014,Arunachal_Pradesh,Nabam Tuki,2011-01-11,2014-05-17,INC
160,2014,Arunachal_Pradesh,Nabam Tuki,2014-05-18,2016-01-26,INC
161,2015,Arunachal_Pradesh,Nabam Tuki,2014-05-18,2016-01-26,INC
162,2016,Arunachal_Pradesh,Nabam Tuki,2014-05-18,2016-01-26,INC
163,2016,Arunachal_Pradesh,President's Rule,2016-01-26,2016-02-19,
164,2016,Arunachal_Pradesh,Kalikho Pul,2016-02-19,2016-07-13,INC
165,2016,Arunachal_Pradesh,Nabam Tuki,2016-07-13,2016-07-17,INC
166,2016,Arunachal_Pradesh,Pema Khandu,2016-07-17,2019-05-26,INC
167,2017,Arunachal_Pradesh,Pema Khandu,2016-07-17,2019-05-26,INC
168,2018,Arunachal_Pradesh,Pema Khandu,2016-07-17,2019-05-26,INC
169,2019,Arunachal_Pradesh,Pema Khandu,2016-07-17,2019-05-26,INC
170,2062,Assam,B.P. Chaliha,2062-03-03,2067-01-03,INC
171,2063,Assam,B.P. Chaliha,2062-03-03,2067-01-03,INC
172,2064,Assam,B.P. Chaliha,2062-03-03,2067-01-03,INC
173,2065,Assam,B.P. Chaliha,2062-03-03,2067-01-03,INC
174,2066,Assam,B.P. Chaliha,2062-03-03,2067-01-03,INC
175,2067,Assam,B.P. Chaliha,2062-03-03,2067-01-03,INC
176,2067,Assam,B.P. Chaliha,2067-01-03,2070-06-11,INC
177,2068,Assam,B.P. Chaliha,2067-01-03,2070-06-11,INC
178,2069,Assam,B.P. Chaliha,2067-01-03,2070-06-11,INC
179,2070,Assam,B.P. Chaliha,2067-01-03,2070-06-11,INC
180,1972,Assam,Shri Sarat Chandra Sinha,1972-01-31,1978-12-03,INC
181,1973,Assam,Shri Sarat Chandra Sinha,1972-01-31,1978-12-03,INC
182,1974,Assam,Shri Sarat Chandra Sinha,1972-01-31,1978-12-03,INC
183,1975,Assam,Shri Sarat Chandra Sinha,1972-01-31,1978-12-03,INC
184,1976,Assam,Shri Sarat Chandra Sinha,1972-01-31,1978-12-03,INC
185,1977,Assam,Shri Sarat Chandra Sinha,1972-01-31,1978-12-03,INC
186,1978,Assam,Shri Sarat Chandra Sinha,1972-01-31,1978-12-03,INC
187,1978,Assam,Shri Golap Borbora,1978-12-03,1979-04-09,JNP
188,1979,Assam,Shri Golap Borbora,1978-12-03,1979-04-09,JNP
189,1979,Assam,Shri Jogendra Nath Hazarika,1979-09-09,1979-11-12,JNP
190,1979,Assam,President's Rule,1979-12-12,1980-05-12,
191,1980,Assam,President's Rule,1979-12-12,1980-05-12,
192,1980,Assam,Shrimati Anowara Taimur,1980-06-12,1981-06-30,INC(I)
193,1981,Assam,Shrimati Anowara Taimur,1980-06-12,1981-06-30,INC(I)
194,1981,Assam,President's Rule,1981-06-30,1982-01-13,
195,1982,Assam,President's Rule,1981-06-30,1982-01-13,
196,1982,Assam,Shri Kesab Chandra Gogoi,1982-01-13,1982-03-19,JNP
197,1982,Assam,President's Rule,1982-03-19,1983-02-27,
198,1983,Assam,President's Rule,1982-03-19,1983-02-27,
199,1983,Assam,Shri Hiteswar Saikia,1983-02-27,1985-12-23,INC
200,1984,Assam,Shri Hiteswar Saikia,1983-02-27,1985-12-23,INC
201,1985,Assam,Shri Hiteswar Saikia,1983-02-27,1985-12-23,INC
202,1985,Assam,Shri Prafulla Kumar Mahanta,1985-12-24,1990-11-27,IND
203,1986,Assam,Shri Prafulla Kumar Mahanta,1985-12-24,1990-11-27,IND
204,1987,Assam,Shri Prafulla Kumar Mahanta,1985-12-24,1990-11-27,IND
205,1988,Assam,Shri Prafulla Kumar Mahanta,1985-12-24,1990-11-27,IND
206,1989,Assam,Shri Prafulla Kumar Mahanta,1985-12-24,1990-11-27,IND
207,1990,Assam,Shri Prafulla Kumar Mahanta,1985-12-24,1990-11-27,IND
208,1990,Assam,President's Rule,1990-11-28,1991-06-30,
209,1991,Assam,President's Rule,1990-11-28,1991-06-30,
210,1991,Assam,Shri Hiteswar Saikia,1991-06-30,1996-04-22,INC
211,1992,Assam,Shri Hiteswar Saikia,1991-06-30,1996-04-22,INC
212,1993,Assam,Shri Hiteswar Saikia,1991-06-30,1996-04-22,INC
213,1994,Assam,Shri Hiteswar Saikia,1991-06-30,1996-04-22,INC
214,1995,Assam,Shri Hiteswar Saikia,1991-06-30,1996-04-22,INC
215,1996,Assam,Shri Hiteswar Saikia,1991-06-30,1996-04-22,INC
216,1996,Assam,Dr. Bhumidhar Barman,1996-04-22,1996-05-14,INC
217,1996,Assam,Shri Prafulla Kumar Mahanta,1996-05-15,2001-05-17,AGP
218,1997,Assam,Shri Prafulla Kumar Mahanta,1996-05-15,2001-05-17,AGP
219,1998,Assam,Shri Prafulla Kumar Mahanta,1996-05-15,2001-05-17,AGP
220,1999,Assam,Shri Prafulla Kumar Mahanta,1996-05-15,2001-05-17,AGP
221,2000,Assam,Shri Prafulla Kumar Mahanta,1996-05-15,2001-05-17,AGP
222,2001,Assam,Shri Prafulla Kumar Mahanta,1996-05-15,2001-05-17,AGP
223,2001,Assam,Shri Tarun Gogoi,2001-05-17,2006-11-05,INC
224,2002,Assam,Shri Tarun Gogoi,2001-05-17,2006-11-05,INC
225,2003,Assam,Shri Tarun Gogoi,2001-05-17,2006-11-05,INC
226,2004,Assam,Shri Tarun Gogoi,2001-05-17,2006-11-05,INC
227,2005,Assam,Shri Tarun Gogoi,2001-05-17,2006-11-05,INC
228,2006,Assam,Shri Tarun Gogoi,2001-05-17,2006-11-05,INC
229,2006,Assam,Shri Tarun Gogoi,2006-12-05,2011-05-16,INC
230,2007,Assam,Shri Tarun Gogoi,2006-12-05,2011-05-16,INC
231,2008,Assam,Shri Tarun Gogoi,2006-12-05,2011-05-16,INC
232,2009,Assam,Shri Tarun Gogoi,2006-12-05,2011-05-16,INC
233,2010,Assam,Shri Tarun Gogoi,2006-12-05,2011-05-16,INC
234,2011,Assam,Shri Tarun Gogoi,2006-12-05,2011-05-16,INC
235,2011,Assam,Shri Tarun Gogoi,2011-05-17,2016-05-21,INC
236,2012,Assam,Shri Tarun Gogoi,2011-05-17,2016-05-21,INC
237,2013,Assam,Shri Tarun Gogoi,2011-05-17,2016-05-21,INC
238,2014,Assam,Shri Tarun Gogoi,2011-05-17,2016-05-21,INC
239,2015,Assam,Shri Tarun Gogoi,2011-05-17,2016-05-21,INC
240,2016,Assam,Shri Tarun Gogoi,2011-05-17,2016-05-21,INC
241,2016,Assam,Shri Sarbananda Sonowal,2016-05-24,2021-09-05,BJP
242,2017,Assam,Shri Sarbananda Sonowal,2016-05-24,2021-09-05,BJP
243,2018,Assam,Shri Sarbananda Sonowal,2016-05-24,2021-09-05,BJP
244,2019,Assam,Shri Sarbananda Sonowal,2016-05-24,2021-09-05,BJP
245,2020,Assam,Shri Sarbananda Sonowal,2016-05-24,2021-09-05,BJP
246,2021,Assam,Shri Sarbananda Sonowal,2016-05-24,2021-09-05,BJP
247,2005,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
248,2006,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
249,2007,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
250,2008,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
251,2009,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
252,2010,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
253,2011,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
254,2012,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
255,2013,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
256,2014,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
257,2014,Bihar,Jitan Ram Manjhi,2014-05-20,2015-02-22,JD(U)
258,2015,Bihar,Jitan Ram Manjhi,2014-05-20,2015-02-22,JD(U)
259,2003,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
260,2004,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
261,2005,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
262,2006,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
263,2007,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
264,2008,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
265,2009,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
266,2010,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
267,2011,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
268,2012,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
269,2013,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
270,2014,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
271,2015,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
272,2016,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
273,2017,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
274,2018,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
275,1990,Goa,Shri Pratapsingh R. Rane,1990-09-01,1990-03-27,INC
276,1990,Goa,Shri Churchill Alemao,1990-03-27,1990-04-14,INC
277,1990,Goa,Dr. Luis Proto Barbosa,1990-04-14,1990-12-14,INC
278,1990,Goa,President's Rule,1990-12-14,1991-01-25,
279,1991,Goa,President's Rule,1990-12-14,1991-01-25,
280,1991,Goa,Shri Ravi S. Naik,1991-01-25,1993-05-18,MAG
281,1992,Goa,Shri Ravi S. Naik,1991-01-25,1993-05-18,MAG
282,1993,Goa,Shri Ravi S. Naik,1991-01-25,1993-05-18,MAG
283,1993,Goa,Dr. Wilfred de Souza,1993-05-18,1994-02-04,INC
284,1994,Goa,Dr. Wilfred de Souza,1993-05-18,1994-02-04,INC
285,1994,Goa,Shri Ravi S. Naik,1994-02-04,1994-08-04,INC
286,1994,Goa,Dr. Wilfred de Souza,1994-08-04,1994-12-16,INC
287,1994,Goa,Shri Pratapsingh R. Rane,1994-12-16,1998-07-29,INC
288,1995,Goa,Shri Pratapsingh R. Rane,1994-12-16,1998-07-29,INC
289,1996,Goa,Shri Pratapsingh R. Rane,1994-12-16,1998-07-29,INC
290,1997,Goa,Shri Pratapsingh R. Rane,1994-12-16,1998-07-29,INC
291,1998,Goa,Shri Pratapsingh R. Rane,1994-12-16,1998-07-29,INC
292,1998,Goa,Dr. Wilfred de Souza,1998-07-29,1998-11-23,INC
293,1998,Goa,Shri Luizinho Faleiro,1998-11-26,1999-08-02,INC
294,1999,Goa,Shri Luizinho Faleiro,1998-11-26,1999-08-02,INC
295,1999,Goa,President's Rule,1999-10-02,1999-09-06,
296,1999,Goa,Shri Luizinho Faleiro,1999-09-06,1999-11-24,INC
297,1999,Goa,Shri Francisco Sardinha,1999-11-24,2000-10-23,INC
298,2000,Goa,Shri Francisco Sardinha,1999-11-24,2000-10-23,INC
299,2000,Goa,Shri Manohar Parrikar,2000-10-24,2002-05-31,BJP
300,2001,Goa,Shri Manohar Parrikar,2000-10-24,2002-05-31,BJP
301,2002,Goa,Shri Manohar Parrikar,2000-10-24,2002-05-31,BJP
302,2002,Goa,Shri Manohar Parrikar,2002-01-06,2005-02-02,BJP
303,2003,Goa,Shri Manohar Parrikar,2002-01-06,2005-02-02,BJP
304,2004,Goa,Shri Manohar Parrikar,2002-01-06,2005-02-02,BJP
305,2005,Goa,Shri Manohar Parrikar,2002-01-06,2005-02-02,BJP
306,2005,Goa,Shri Pratapsingh R. Rane,2005-03-02,2005-04-03,INC
307,2005,Goa,President's Rule,2005-04-03,2005-06-06,
308,2005,Goa,Shri Pratapsingh R. Rane,2005-07-06,2007-07-06,INC
309,2006,Goa,Shri Pratapsingh R. Rane,2005-07-06,2007-07-06,INC
310,2007,Goa,Shri Pratapsingh R. Rane,2005-07-06,2007-07-06,INC
311,2007,Goa,Shri Digambar Kamat,2007-08-06,2012-08-03,INC
312,2008,Goa,Shri Digambar Kamat,2007-08-06,2012-08-03,INC
313,2009,Goa,Shri Digambar Kamat,2007-08-06,2012-08-03,INC
314,2010,Goa,Shri Digambar Kamat,2007-08-06,2012-08-03,INC
315,2011,Goa,Shri Digambar Kamat,2007-08-06,2012-08-03,INC
316,2012,Goa,Shri Digambar Kamat,2007-08-06,2012-08-03,INC
317,2012,Goa,Shri Manohar Parrikar,2012-09-03,2014-08-11,BJP
318,2013,Goa,Shri Manohar Parrikar,2012-09-03,2014-08-11,BJP
319,2014,Goa,Shri Manohar Parrikar,2012-09-03,2014-08-11,BJP
320,2014,Goa,Shri Laxmikant Parsekar,2014-08-11,2017-11-03,BJP
321,2015,Goa,Shri Laxmikant Parsekar,2014-08-11,2017-11-03,BJP
322,2016,Goa,Shri Laxmikant Parsekar,2014-08-11,2017-11-03,BJP
323,2017,Goa,Shri Laxmikant Parsekar,2014-08-11,2017-11-03,BJP
324,2017,Goa,Shri Manohar Parrikar,2017-03-14,2019-09-17,
325,2018,Goa,Shri Manohar Parrikar,2017-03-14,2019-09-17,
326,2019,Goa,Shri Manohar Parrikar,2017-03-14,2019-09-17,
327,2062,Gujarat,Dr. Jivraj Narayan Mehta,2062-03-03,2063-09-19,INC
328,2063,Gujarat,Dr. Jivraj Narayan Mehta,2062-03-03,2063-09-19,INC
329,2063,Gujarat,Shri Balwantray Mehta,2063-09-19,2065-09-19,
